Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Long, Evan M; Bradbury, Peter J; Romay, M Cinta; Buckler, Edward S; Robbins, Kelly R; ",Genome-wide imputation using the practical haplotype graph in the heterozygous crop cassava,G3,12,1,jkab383,2022,Oxford University Press
"Gage, Joseph L; Mali, Sujina; McLoughlin, Fionn; Khaipho-Burch, Merritt; Monier, Brandon; Bailey-Serres, Julia; Vierstra, Richard D; Buckler, Edward S; ",Variation in upstream open reading frames contributes to allelic diversity in maize protein abundance,Proceedings of the National Academy of Sciences,119,14,e2112516119,2022,National Academy of Sciences
"Song, Baoxing; Buckler, Edward S; Wang, Hai; Wu, Yaoyao; Rees, Evan; Kellogg, Elizabeth A; Gates, Daniel J; Khaipho-Burch, Merritt; Bradbury, Peter J; Ross-Ibarra, Jeffrey; ",Conserved noncoding sequences provide insights into regulatory sequence and loss of gene expression in maize,Genome research,31,7,1245-1257,2021,Cold Spring Harbor Lab
"Washburn, Jacob D; Cimen, Emre; Ramstein, Guillaume; Reeves, Timothy; O’Briant, Patrick; McLean, Greg; Cooper, Mark; Hammer, Graeme; Buckler, Edward S; ","Predicting phenotypes from genetic, environment, management, and historical data using CNNs",Theoretical and Applied Genetics,134,12,3997-4011,2021,Springer Berlin Heidelberg
"Wu, Yaoyao; Johnson, Lynn; Song, Baoxing; Romay, Cinta; Stitzer, Michelle; Siepel, Adam; Buckler, Edward; Scheben, Armin; ",A multiple alignment workflow shows the effect of repeat masking and parameter tuning on alignment in plants,The plant genome,15,2,e20204,2022,
"Jordan, Katherine W; Bradbury, Peter J; Miller, Zachary R; Nyine, Moses; He, Fei; Fraser, Max; Anderson, Jim; Mason, Esten; Katz, Andrew; Pearce, Stephen; ",Development of the Wheat Practical Haplotype Graph database as a resource for genotyping data storage and genotype imputation,G3,12,2,jkab390,2022,Oxford University Press
"Buckler IV, Edward S; Phelps, Tara L; Buckler, Carlyn S Keith; Doebleyt, John F; Holtsford, Timothy P; ",Meiotic Drive of Knobs Reshaped The Maize Genome,MAIZE DOMESTICATION AND MOLECULAR EVOLUTION,,,,1997,
"Gao, Star Yanxin; Nti-Addae, Yaw A; Jones, Elizabeth; Stephen, Gordon; Milne, Iain; Juanillas, Venice Margarette; Dereeper, Alexis; Kowalczyk, Andrew; Palis, Kevin; Lamos-Sweeney, Joshua; ",Genomic Open-Source Breeding Informatics Tool Portal,PAG ASIA 2019,,,,2019,PAG
"Wang, Lun; Huang, Yue; Liu, ZiAng; He, Jiaxian; Jiang, Xiaolin; He, Fa; Lu, Zhihao; Yang, Shuizhi; Chen, Peng; Yu, Huiwen; ",Somatic variations led to the selection of acidic and acidless orange cultivars,Nature Plants,7,7,954-965,2021,Nature Publishing Group UK London
"Wu, Xi; Feng, Hui; Wu, DI; Yan, Shijuan; Zhang, Pei; Wang, Wenbin; Zhang, Jun; Ye, Junli; Dai, Guoxin; Fan, Yuan; ",Using high-throughput multiple optical phenotyping to decipher the genetic architecture of maize drought tolerance,Genome Biology,22,1,185,2021,BioMed Central London
"Zhang, N; Gibon, Y; Lepak, NK; Pinghua, L; Dedow, L; Chen, C; So, Y; Brutnell, T; Sitt, M; Buckler Iv, ES; ",Genome-wide association study of carbon and nitrogen metabolism in the maize nested association mapping population,Plant Physiology,10,,15.0025,2015,
"Jensen, Sarah E; Johnson, Lynn C; Casstevens, Terry; Buckler, Edward S; ",Predicting protein domain temperature adaptation across the prokaryote-eukaryote divide,bioRxiv,,,2021.07. 13.452245,2021,Cold Spring Harbor Laboratory
"Jensen, Sarah E; Buckler, Edward S; ",Pfam domain adaptation profiles reflect plant species’ evolutionary history,bioRxiv,,,2021.07. 13.452250,2021,Cold Spring Harbor Laboratory
"Song, Baoxing; Marco-Sola, Santiago; Moreto, Miquel; Johnson, Lynn; Buckler, Edward S; Stitzer, Michelle C; ","AnchorWave: sensitive alignment of genomes with high diversity, structural polymorphism and whole-genome duplication variation",bioRxiv,,,2021.07. 29.454331,2021,Cold Spring Harbor Laboratory
"Hamilton, John P; Buell, C Robin; Vatamaniuk, Olena K; Buckler, Edward S; Smith, Margaret E; Baxter, Ivan; Tracy, William F; Gore, Michael A; ",Genome-wide association study suggests an independent genetic basis of zinc and cadmium concentrations in fresh sweet corn kernels,,,,,,
"Bradbury, Peter J; Casstevens, T; Jensen, Sarah E; Johnson, LC; Miller, ZR; Monier, Brandon; Romay, MC; Song, B; Buckler, Edward S; ","The Practical Haplotype Graph, a platform for storing and using pangenomes for imputation",Bioinformatics,38,15,3698-3702,2022,Oxford University Press
"Samayoa, Luis Fernando; Olukolu, Bode A; Yang, Chin Jian; Chen, Qiuyue; Stetter, Markus G; York, Alessandra M; Sanchez-Gonzalez, Jose de Jesus; Glaubitz, Jeffrey C; Bradbury, Peter J; Romay, Maria Cinta; ","Domestication reshaped the genetic basis of inbreeding depression in a maize landrace compared to its wild relative, teosinte",Plos Genetics,17,12,e1009797,2021,"Public Library of Science San Francisco, CA USA"
"Lozano, Roberto; Booth, Gregory T; Omar, Bilan Yonis; Li, Bo; Buckler, Edward S; Lis, John T; Del Carpio, Dunia Pino; Jannink, Jean-Luc; ",RNA polymerase mapping in plants identifies intergenic regulatory elements enriched in causal variants,G3,11,11,jkab273,2021,Oxford University Press
"Ramstein, Guillaume P; Buckler, Edward S; ",Prediction of evolutionary constraint by genomic annotations improves functional prioritization of genomic variants in maize,Genome Biology,23,1,183,2022,BioMed Central London
"Yang, Jinliang; Mezmouk, Sofiane; Baumgarten, Andy; Buckler, Edward S; Guill, Katherine E; McMullen, Michael D; Mumm, Rita H; Ross-Ibarra, Jeffrey; ",Correction: Incomplete dominance of deleterious alleles contributes substantially to trait variation and heterosis in maize,PLoS Genetics,17,9,e1009825,2021,"Public Library of Science San Francisco, CA USA"
"Zhang, Xiao; Zhu, Yonghui; Kremling, Karl AG; Romay, M Cinta; Bukowski, Robert; Sun, Qi; Gao, Shibin; Buckler, Edward S; Lu, Fei; ",Genome-wide analysis of deletions in maize population reveals abundant genetic diversity and functional impact,Theoretical and Applied Genetics,135,1,273-290,2022,Springer Berlin Heidelberg Berlin/Heidelberg
"Chen, Qiuyue; Samayoa, Luis Fernando; Yang, Chin Jian; Olukolu, Bode A; York, Alessandra M; Sanchez-Gonzalez, Jose de Jesus; Xue, Wei; Glaubitz, Jeffrey C; Bradbury, Peter J; Romay, Maria Cinta; ","A conserved genetic architecture among populations of the maize progenitor, teosinte, was radically altered by domestication",Proceedings of the National Academy of Sciences,118,43,e2112970118,2021,National Academy of Sciences
"Wrightsman, Travis; Marand, Alexandre P; Crisp, Peter A; Springer, Nathan M; Buckler, Edward S; ",Modeling chromatin state from sequence across angiosperms using recurrent convolutional neural networks,The Plant Genome,15,3,e20249,2022,
"Gur, A; Buckler, ES; Burger, J; Tadmor, Y; Klapp, I; ",Characterization of genetic variation and yield heterosis in Cucumis melo,,,,,,
"Song, Baoxing; Marco-Sola, Santiago; Moreto, Miquel; Johnson, Lynn; Buckler, Edward S; Stitzer, Michelle C; ","AnchorWave: Sensitive alignment of genomes with high sequence diversity, extensive structural polymorphism, and whole-genome duplication",Proceedings of the National Academy of Sciences,119,1,e2113075119,2022,National Academy of Sciences
"Lipka, Alexander E; Tian, Feng; Wang, Qishan; Peiffer, Jason; Li, Meng; Bradbury, Peter J; Gore, Michael; Buckler, Edward S; Zhang, Zhiwu; ",User Manual for,,,,,,
"Oren, Elad; Tzuri, Galil; Dafna, Asaf; Rees, Evan R; Song, Baoxing; Freilich, Shiri; Elkind, Yonatan; Isaacson, Tal; Schaffer, Arthur A; Tadmor, Yaakov; ",QTL mapping and genomic analyses of earliness and fruit ripening traits in a melon recombinant inbred lines population supported by de novo assembly of their parental genomes,Horticulture Research,9,,uhab081,2022,Oxford University Press
"Diepenbrock, Christine H; Kandianis, Catherine B; Kim, Eunha; Cepela, Jason; Mateos-Hernandez, Maria; Buell, C Robin; Buckler, Edward S; DellaPenna, Dean; Gore, Michael A; Rocheford, Torbert; ","A Foundation for Provitamin A Biofortification of Maize: Genome-Wide 1 Association and Genomic Prediction Models of Carotenoid Levels 2 3 Brenda F. Owens, Alexander E. Lipka, Maria Magallanes-Lundback, Tyler Tiede, 4",,,,,2014,
"Yang, Jinliang; Mezmouk, Sofiane; Baumgarten, Andy; Buckler, Edward S; Guill, Katherine E; McMullen, Michael D; Mumm, Rita H; Ross-Ibarra, Jeffrey; ","Incomplete dominance of deleterious alleles contributes substantially to trait variation and heterosis in maize (vol 13, e1007019, 2017)",PLOS GENETICS,17,9,,2021,"PUBLIC LIBRARY SCIENCE 1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA"
"Phillips, Alyssa R; Seetharam, Arun S; Albert, Patrice S; AuBuchon-Elder, Taylor; Birchler, James A; Buckler, Edward S; Gillespie, Lynn J; Hufford, Matthew B; Llaca, Victor; Romay, Maria Cinta; ",A happy accident: a novel turfgrass reference genome,"G3: Genes, Genomes, Genetics",13,6,jkad073,2023,Oxford University Press US
,Joint analysis of days to flowering reveals independent temperate adaptations in maize,,,,,,
"Barrett, Christopher B; Benton, Tim; Fanzo, Jessica; Herrero, Mario; Nelson, Rebecca J; Bageant, Elizabeth; Buckler, Edward; Cooper, Karen; Culotta, Isabella; Fan, Shenggen; ",Technical Appendix,Socio-Technical Innovation Bundles for Agri-Food Systems Transformation,,,187-190,2022,Springer International Publishing Cham
"Barrett, Christopher B; Benton, Tim; Fanzo, Jessica; Herrero, Mario; Nelson, Rebecca J; Bageant, Elizabeth; Buckler, Edward; Cooper, Karen; Culotta, Isabella; Fan, Shenggen; ",Key External Drivers of Change to 2070,Socio-Technical Innovation Bundles for Agri-Food Systems Transformation,,,47-54,2022,Springer International Publishing Cham
"Barrett, Christopher B; Benton, Tim; Fanzo, Jessica; Herrero, Mario; Nelson, Rebecca J; Bageant, Elizabeth; Buckler, Edward; Cooper, Karen; Culotta, Isabella; Fan, Shenggen; ",Socio-technical innovation bundles for agri-food systems transformation,,,,,2022,Springer Nature
"Barrett, Christopher B; Benton, Tim; Fanzo, Jessica; Herrero, Mario; Nelson, Rebecca J; Bageant, Elizabeth; Buckler, Edward; Cooper, Karen; Culotta, Isabella; Fan, Shenggen; ",Towards Co-Creation of AFS Innovations by AVC Actors,Socio-Technical Innovation Bundles for Agri-Food Systems Transformation,,,177-186,2022,Springer International Publishing Cham
"Barrett, Christopher B; Benton, Tim; Fanzo, Jessica; Herrero, Mario; Nelson, Rebecca J; Bageant, Elizabeth; Buckler, Edward; Cooper, Karen; Culotta, Isabella; Fan, Shenggen; ",Getting from Here to There,Socio-Technical Innovation Bundles for Agri-Food Systems Transformation,,,65-72,2022,Springer International Publishing Cham
"Barrett, Christopher B; Benton, Tim; Fanzo, Jessica; Herrero, Mario; Nelson, Rebecca J; Bageant, Elizabeth; Buckler, Edward; Cooper, Karen; Culotta, Isabella; Fan, Shenggen; ",Impact Pathways,Socio-Technical Innovation Bundles for Agri-Food Systems Transformation,,,169-175,2022,Springer International Publishing Cham
"Barrett, Christopher B; Benton, Tim; Fanzo, Jessica; Herrero, Mario; Nelson, Rebecca J; Bageant, Elizabeth; Buckler, Edward; Cooper, Karen; Culotta, Isabella; Fan, Shenggen; ",Envisioning Four Design Objectives for 2045–2070,Socio-Technical Innovation Bundles for Agri-Food Systems Transformation,,,55-63,2022,Springer International Publishing Cham
"Barrett, Christopher B; Benton, Tim; Fanzo, Jessica; Herrero, Mario; Nelson, Rebecca J; Bageant, Elizabeth; Buckler, Edward; Cooper, Karen; Culotta, Isabella; Fan, Shenggen; ",The state of agri-food systems and agri-food value chains in 2020,Socio-Technical Innovation Bundles for Agri-Food Systems Transformation,,,21-45,2022,Springer International Publishing Cham
"Barrett, Christopher B; Benton, Tim; Fanzo, Jessica; Herrero, Mario; Nelson, Rebecca J; Bageant, Elizabeth; Buckler, Edward; Cooper, Karen; Culotta, Isabella; Fan, Shenggen; ",Socio-technical innovation bundles tailored to distinct agri-food systems,Socio-technical innovation bundles for agri-food systems transformation,,,159-168,2022,Springer International Publishing Cham
"Barrett, Christopher B; Benton, Tim; Fanzo, Jessica; Herrero, Mario; Nelson, Rebecca J; Bageant, Elizabeth; Buckler, Edward; Cooper, Karen; Culotta, Isabella; Fan, Shenggen; ",A profuse pipeline of promising options,Socio-technical innovation bundles for Agri-food systems transformation,,,73-158,2022,Springer International Publishing Cham
"Hearne, Sarah; Chen, Charles; Buckler, Ed; Mitchell, Sharon; ",Unimputed GbS derived SNPs for maize landrace accessions represented in the SeeD-maize GWAS panel,,,,,2014,CIMMYT Research Data & Software Repository Network
"Smart, Larry; Serapiglia, Michelle; Gouker, Fred; Town, Chris; Tang, Haibao; Tuskan, Jerry; Barry, Kerrie; Lindquist, Erika; Buckler, Ed; Mitchell, Sharon; ",Next generation sequencing of the Salix purpurea genome and transcriptome: Tools for the genetic improvement of willow biomass crops,,,,,,
"Buckler IV, Edward S; Pearsall, Deborah M; Holtsford, Timothy P; ",The Impact of Early Holocene Climate and Plant Ecology on Central Mexican Archaic Subsistence1,MAIZE DOMESTICATION AND MOLECULAR EVOLUTION,,,,1997,
"Zhu, C; Gore, M; Buckler, ES; Yu, J; ",Status and prospects of association mapping in plants. Plant Genome 1: 5–20,Appendices Appendix,1,,,2008,
"Gouker, Fred; Serapiglia, Michelle; Smart, Larry; Town, Chris; Tang, Haibao; Krishnakumar, Vivek; Buckler, Ed; Mitchell, Sharon; Elshire, Rob; Hyma, Katie; ",Shrub willow,,,,,,
"Buckler, Edward S; ",What Can the Genomes of All Maize and Sorghum Wild Relatives Tell Our Machine Learning Models and Us?,"ASA, CSSA, SSSA International Annual Meeting",,,,2021,ASA-CSSA-SSSA
"Willcox, Martha C; Burgueño, Juan A; Jeffers, Daniel; Rodriguez-Chanona, Enrique; Guadarrama-Espinoza, Armando; Kehel, Zakaria; Chepetla, Daniel; Shrestha, Rosemary; Swarts, Kelly; Buckler, Edward S; ",Mining alleles for tar spot complex resistance from CIMMYT's maize Germplasm Bank,Frontiers in Sustainable Food Systems,6,,937200,2022,Frontiers Media SA
"Jordan, Katherine W; Bradbury, Peter; Miller, Zachary; Nyine, Moses; He, Fei; Akhunova, Alina; Bowden, Robert L; Fiedler, Jason D; Faris, Justin D; Dubcovsky, Jorge; ",Wheat Practical Haplotype Graph As a Resource for Genotyping Data Storage and Genotype Imputation,"Plant and Animal Genome XXIX Conference (January 8-12, 2022)",,,,2022,PAG
"Hirsch, Candice N; Hirsch, Cory D; Brohammer, Alex B; Bowman, Megan J; Soifer, Ilya; Barad, Omer; Sehm-Tov, Doron; Baruch, Kobi; Lu, Fei; Hernandez, Alvaro G; ",Data from: Draft assembly of elite inbred line PH207 provides insights into genomic and transcriptome diversity in maize,,,,,2017,"Great Lakes Bioenergy Research Center, Madison, WI (United States); Univ. of …"
"Khaipho-Burch, Merritt; Ferebee, Taylor; Giri, Anju; Ramstein, Guillaume; Monier, Brandon; Yi, Emily; Romay, M Cinta; Buckler, Edward S; ",Elucidating the patterns of pleiotropy and its biological relevance in maize,PLoS Genetics,19,3,e1010664,2023,"Public Library of Science San Francisco, CA USA"
"Liu, Z; Cook, J; Melia-Hancock, S; Guill, K; Bottoms, C; Garcia, A; Ott, O; Nelson, R; Recker, J; Balint-Kurti, P; ",Expanding maize genetic resources with predomestication alleles: maize–teosinte introgression populations. Plant Genome 9,,,,,2016,
"Buckler, Edward; ",A Roadmap to Towards Genomic Selection Based on Molecular Activity in Cassava,"Plant and Animal Genome XXIX Conference (January 8-12, 2022)",,,,2022,PAG
"Monier, Brandon; Casstevens, Terry M; Bradbury, Peter J; Buckler, Edward S; ",rTASSEL: An R interface to TASSEL for analyzing genomic diversity,Journal of Open Source Software,7,76,4530,2022,
"Oren, Elad; Dafna, Asaf; Tzuri, Galil; Halperin, Ilan; Isaacson, Tal; Elkabetz, Meital; Meir, Ayala; Saar, Uzi; Ohali, Shachar; La, Thuy; ",Pan‐genome and multi‐parental framework for high‐resolution trait dissection in melon (Cucumis melo),The Plant Journal,112,6,1525-1542,2022,
"Long, Evan M; Romay, M Cinta; Ramstein, Guillaume; Buckler, Edward S; Robbins, Kelly R; ",Utilizing evolutionary conservation to detect deleterious mutations and improve genomic prediction in cassava,Frontiers in Plant Science,13,,1041925,2023,Frontiers Media SA
"Pardo, Jeremy; Wai, Ching Man; Harman, Maxwell; Nguyen, Annie; Kremling, Karl A; Romay, Maria Cinta; Lepak, Nicholas; Bauerle, Taryn L; Buckler, Edward S; Thompson, Addie M; ",Cross-species predictive modeling reveals conserved drought responses between maize and sorghum,Proceedings of the National Academy of Sciences,120,10,e2216894120,2023,National Academy of Sciences
"Morales, Nicolas; Anche, Mahlet T; Kaczmar, Nicholas S; Lepak, Nicholas; Ni, Pengzun; Romay, Maria Cinta; Santantonio, Nicholas; Buckler, Edward S; Gore, Michael A; Mueller, Lukas A; ",Spatio-temporal modeling of high-throughput multispectral aerial images improves agronomic trait genomic prediction in hybrid maize,Genetics,227,1,iyae037,2024,Oxford University Press US
"Falcon, Celeste M; Kaeppler, Shawn M; Spalding, Edgar P; Miller, Nathan D; Haase, Nicholas; AlKhalifah, Naser; Bohn, Martin; Buckler, Edward S; Campbell, Darwin A; Ciampitti, Ignacio; ","Erratum to: Relative utility of agronomic, phenological, and morphological traits for assessing genotype‐by‐environment interaction in maize inbreds.",Crop Science,62,6,,2022,
"Buckler, Edward; ",Mining Maize Diversity By Using Machine Learning across the Central Dogma of Molecular Biology,"Plant and Animal Genome XXIX Conference (January 8-12, 2022)",,,,2022,PAG
"Oren, Elad; Dafna, Asaf; Tzuri, Galil; Halperin, Ilan; Isaacson, Tal; Elkabetz, Meital; Meir, Ayala; Saar, Uzi; Ohali, Shachar; La, Thuy; ",Melon pan-genome and multi-parental framework for high-resolution trait dissection,BioRxiv,,,2022.08. 09.503186,2022,Cold Spring Harbor Laboratory
"Kane, Ndjido A; ",Erratum: Pearl millet genome sequence provides a resource to improve agronomic traits in arid environments,Nature Biotechnology,,,,2018,
"Ramu, Punna; Esuma, Williams; Kawuki, Robert; Rabbi, Ismail Y; Egesi, Chiedozie; Bredeson, Jessen V; Bart, Rebecca S; Verma, Janu; Buckler, Edward S; Lu, Fei; ",Cassava HapMap: Managing genetic load in a clonal crop species,bioRxiv,,,077123,2016,Cold Spring Harbor Laboratory
"Wallace, JG; Kremling, KA; Walters, WA; Lepak, NK; Ley, RE; Buckler, ES; ",The effects of host and environment on the maize microbiome,60th Annual Maize Genetics Conference,,,188,2018,
"Swarts, K; Miller, Z; Gutaker, R; Johnson, L; Bauer, E; Glaubitz, J; Matson, RG; Blake, M; Kruse-Peeples, M; Larsson, S; ",Prehistoric selection for temperate climates has far-reaching implications for global germplasm,,,,,2018,
"Swarts, K; Gutaker, RM; Schuenemann, VJ; Benz, B; Blake, M; Bukowski, R; Holland, J; Kruse-Peeples, M; Lepak, N; Matson, RG; ",Genomic estimation of complex traits in archaeological maize reveals ancient adaptation to temperate North America,59th Annual Maize Genetics Conference,,,229,2017,
"Tu, Xiaoyu; Mejía-Guerra, María Katherine; Franco, Jose A Valdes; Tzeng, David; Chu, Po-Yu; Shen, Wei; Wei, Yingying; Dai, Xiuru; Li, Pinghua; Buckler, Edward S; ",Author Correction: Reconstructing the maize leaf regulatory network using ChIP-seq data of 104 transcription factors,nature communications,14,,1586,2023,
"Mann, M; Khaipho-Burch, M; Long, E; Costa-Neto, G; Buckler, E; Heck, M; ","Using genome-wide association studies to identify loci regulating vector competency of Diaphorina citri, insect vector of citrus greening disease",PHYTOPATHOLOGY,112,11,149-149,2022,"AMER PHYTOPATHOLOGICAL SOC 3340 PILOT KNOB ROAD, ST PAUL, MN 55121 USA"
"Ribeiro, Carlos Alexandre Gomes; de Sousa Tinoco, Sylvia Morais; de Souza, Vander Fillipe; Negri, Barbara França; Gault, Christine Marie; Pastina, Maria Marta; Magalhaes, Jurandir Vieira; Guimarães, Lauro José Moreira; de Barros, Everaldo Gonçalves; Buckler, Edward S; ",Genome-wide association study for root morphology and phosphorus acquisition efficiency in diverse maize panels,International Journal of Molecular Sciences,24,7,6233,2023,MDPI
"Khaipho-Burch, M; Cooper, M; Crossa, J; de Leon, N; Holland, J; Lewis, R; McCouch, S; Murray, S; Rabbi, I; Ronald, P; ",The perils and promise of single-gene solutions to crop yield: extraordinary claims require extraordinary evidence,65th Annual Maize Genetics Meeting,,,173,2023,
"Mitchell, Sharon E; Morris, Geoffrey P; Kresovich, Stephen; Buckler, Edward S; Brenton, Zachary; Bonnette, Jason; Ramu, Punna; Deshpande, Santosh; Hash, C Tom; Juenger, Thomas E; ",Data from: Genome-environment associations in sorghum landraces predict adaptive traits,,,,,2016,Zenodo
"Lasky, Jesse R; Juenger, Thomas E; Buckler, Edward S; Morris, Geoffrey P; Upadhyaya, Hari D; Brenton, Zachary; Acharya, Charlotte; Deshpande, Santosh; Hash, C Tom; Kresovich, Stephen; ",Data from: Genome-environment associations in sorghum landraces predict adaptive traits,,,,,2016,DRYAD
"Wu, Yaoyao; Li, Dawei; Hu, Yong; Li, Hongbo; Ramstein, Guillaume P; Zhou, Shaoqun; Zhang, Xinyan; Bao, Zhigui; Zhang, Yu; Song, Baoxing; ",Phylogenomic discovery of deleterious mutations facilitates hybrid potato breeding,Cell,186,11,2313-2328. e15,2023,Elsevier
"Lima, Dayane Cristina; Aviles, Alejandro Castro; Alpers, Ryan Timothy; Perkins, Alden; Schoemaker, Dylan L; Costa, Martin; Michel, Kathryn J; Kaeppler, Shawn; Ertl, David; Romay, Maria Cinta; ",2020-2021 field seasons of Maize GxE project within the Genomes to Fields Initiative,BMC research notes,16,1,219,2023,BioMed Central London
"Ferebee, Taylor H; Buckler, Edward S; ",Exploring the utility of regulatory network-based machine learning for gene expression prediction in maize,bioRxiv,,,2023.05. 11.540406,2023,Cold Spring Harbor Laboratory
"Lima, Dayane Cristina; Aviles, Alejandro Castro; Alpers, Ryan Timothy; McFarland, Bridget A; Kaeppler, Shawn; Ertl, David; Romay, Maria Cinta; Gage, Joseph L; Holland, James; Beissinger, Timothy; ",2018–2019 field seasons of the Maize Genomes to Fields (G2F) G x E project,BMC Genomic Data,24,1,29,2023,BioMed Central London
"Lima, Dayane Cristina; Washburn, Jacob D; Varela, José Ignacio; Chen, Qiuyue; Gage, Joseph L; Romay, Maria Cinta; Holland, James; Ertl, David; Lopez-Cruz, Marco; Aguate, Fernando M; ",Genomes to fields 2022 maize genotype by environment prediction competition,BMC Research Notes,16,1,148,2023,BioMed Central London
"Gorjifard, Sayeh; Jores, Tobias; Tonnies, Jackson; Mueth, Nicholas A; Bubb, Kerry; Wrightsman, Travis; Buckler, Edward S; Fields, Stanley; Cuperus, Josh T; Queitsch, Christine; ",Features that govern terminator strength in plants,bioRxiv,,,2023.06. 16.545379,2023,Cold Spring Harbor Laboratory
"KOCHIAN, LV; MAGALHAES, J; GUIMARÃES, C; ALVES, V; CARNEIRO, N; CARNEIRO, A; SCHAFFERT, R; BRAMMER, S; CONSOLI, L; da SILVA JUNIOR, JP; ","Isolation and characterisation of aluminum tolerance genes in the cereals: an integrated functional genomic, molecular genetic and physiological analysis.",,,,,2013,
"Elshire, RJ; Glaubitz, JC; Sun, Q; Harriman, JV; Buckler, ES; Mitchell, SE; ",Genotyping by sequencing (GBS) method overview,Manual/Tutorial,,,1-46,2011,
"Stitzer, Michelle C; Khaipho-Burch, Merritt B; Hudson, Asher I; Song, Baoxing; Valdez-Franco, Jose Arcadio; Ramstein, Guillaume; Feschotte, Cedric; Buckler, Edward S; ",Transposable element abundance subtly contributes to lower fitness in maize,bioRxiv,,,2023.09. 18.557618,2023,Cold Spring Harbor Laboratory
"Schulz, Aimee J; Zhai, Jingjing; AuBuchon‐Elder, Taylor; Andorf, Carson M; El‐Walid, Mohamed Z; Ferebee, Taylor H; Gilmore, Elizabeth H; Hufford, Matthew B; Johnson, Lynn C; Kellogg, Elizabeth A; ",Fishing for a reelGene: evaluating gene models with evolution and machine learning,The Plant Journal,123,6,e70483,2025,
"Ferguson, John N; Fernandes, Samuel B; Monier, Brandon; Miller, Nathan D; Allan, Dylan; Dmitrieva, Anna; Schmuker, Peter; Lozano, Roberto; Valluru, Ravi; Buckler, Edward S; ","WEST Diversity Panel GBS information (Ferguson et al., 2020)",,,,,2021,"Univ. of Illinois at Urbana-Champaign, IL (United States)"
"Hearne, Sarah; Buckler, Edward; Chen, Charles; Mitchell, Sharon; Swarts, Kelly; Li, Huihui; Romero Navarro, J Alberto; ",Imputed GbS derived SNPs for maize landrace accessions represented in the SeeD-maize GWAS panel: Imputation using FILLIN,,,,,,CIMMYT Research Data & Software Repository Network
"Hearne, Sarah; Chen, Charles; Buckler, Ed; Mitchell, Sharon; Valdés, Jose Arcadio; Dreher, Kate; ",Imputed GbS-derived SNPs for Maize Landrace Accessions Represented in the SeeD-Maize GWAS Panel Recalled Using the B73 v. 4 Reference Genome,,,,,,CIMMYT Research Data & Software Repository Network
"Romero Navarro, J Alberto; Willcox, Martha; Burgueño, Juan; Romay, Cinta; Swarts, Kelly; Trachsel, Samuel; Preciado, Ernesto; Terron, Arturo; Vallejo Delgado, Humberto; Vidal, Victor; ",Significant SNPs from SeeD GWAS Analysis of Flowering Time,,,,,,CIMMYT Research Data & Software Repository Network
"Farmer, Erin; Yan, Ruyu; Michael, Peter; Lepak, Nick; Romay, Cinta; Buckler, Ed; Snavely, Noah; Sun, Ying; Robbins, Kelly; Gage, Joe; ",Integration of multi-modal proximal remote sensing data for improved prediction of agronomically important crop traits,,,,,2023,
"Robbins, Kelly; Jannink, Jean-Luc; Sorrells, Mark E; Sun, QI; Mueller, Lukas; Kretzschmar, Tobias; Olsen, Michael; Varshney, Rajeev K; Buckler, Edward; McCouch, Susan R; ",Genomics and Open Source Breeding Informatics Initiative.,"ASA, CSSA and SSSA International Annual Meetings (2015)",,,,2015,ASA-CSSA-SSSA
"Khaipho-Burch, Merritt; Cooper, Mark; Crossa, Jose; de Leon, Natalia; Holland, James; Lewis, Ramsey; McCouch, Susan; Murray, Seth C; Rabbi, Ismail; Ronald, Pamela; ",Scale up trials to validate modified crops’ benefits,Nature,621,7979,470,2023,
"Farmer, Erin; Michael, Peter; Yan, Ruyu; Lepak, Nick; Romay, Cinta; Buckler, Edward S; Snavely, Noah; Sun, Ying; Robbins, Kelly; Gage, Joseph L; ",Synergizing Proximal Remote Sensing Modalities for Enhanced Prediction of Key Agronomic Crop Traits,Authorea Preprints,,,,2023,Authorea
"Vorontsova, Maria S; Petersen, Kurt B; Minx, Patrick; Aubuchon-Elder, Taylor M; Romay, M Cinta; Buckler, Edward S; Kellogg, Elizabeth A; ","Reinstatement and expansion of the genus Anatherum (Andropogoneae, Panicoideae, Poaceae)",Systematics and Biodiversity,21,1,2274386,2023,Taylor & Francis
"Wang JiaBo, Wang JiaBo; Zhou ZhengKui, Zhou ZhengKui; Zhang Zhe, Zhang Zhe; Li Hui, Li Hui; Liu Di, Liu Di; Zhang Qin, Zhang Qin; Bradbury, PJ; Buckler, ES; Zhang ZhiWu, Zhang ZhiWu; ",Expanding the BLUP alphabet for genomic prediction adaptable to the genetic architectures of complex traits.,,,,,2018,
"Li ChunHui, Li ChunHui; Li YongXiang, Li YongXiang; Shi YunSu, Shi YunSu; Song YanChun, Song YanChun; Zhang DengFeng, Zhang DengFeng; Buckler, ES; Zhang, ZW; Wang TianYu, Wang TianYu; Li Yu, Li Yu; ",Genetic control of the leaf angle and leaf orientation value as revealed by ultra-high density maps in three connected maize populations.,,,,,2015,
