Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ersoz, Elhan S; Wright, Mark H; Pangilinan, Jasmyn L; Sheehan, Moira J; Tobias, Christian; Casler, Michael D; Buckler, Edward S; Costich, Denise E; ",SNP discovery with EST and NextGen sequencing in switchgrass (Panicum virgatum L.),,,,,2012,"Public Library of Science San Francisco, USA"
"Rocheford, Torbert; Kandianis, Cathy; Stevens, Robyn; Buckler, Ed; ",Molecular Breeding Strategies for Enhancing Nutritional Quality.,"ASA-CSSA-SSSA International Annual Meetings (November 4-8, 2007)",,,,2007,ASA-CSSA-SSSA
"Chandler, Kristin; Lipka, Alexander E; Owens, Brenda F; Li, Huihui; Buckler, Edward S; Rocheford, Torbert; Gore, Michael A; ",Genetic analysis of visually scored orange kernel color in maize,Crop Science,53,1,189-200,2013,"The Crop Science Society of America, Inc."
"Chen, Charles; DeClerck, Genevieve; Tian, Feng; Spooner, William; McCouch, Susan; Buckler, Edward; ","PICARA, an analytical pipeline providing probabilistic inference about a priori candidates genes underlying genome-wide association QTL in plants",PloS one,7,11,e46596,2012,"Public Library of Science San Francisco, USA"
"Varshney, Rajeev K; Ribaut, Jean-Marcel; Buckler, Edward S; Tuberosa, Roberto; Rafalski, J Antoni; Langridge, Peter; ",Can genomics boost productivity of orphan crops?,Nature biotechnology,30,12,1172-1176,2012,Nature Publishing Group US New York
"Morris, Geoffrey P; Ramu, Punna; Deshpande, Santosh P; Hash, C Thomas; Shah, Trushar; Upadhyaya, Hari D; Riera-Lizarazu, Oscar; Brown, Patrick J; Acharya, Charlotte B; Mitchell, Sharon E; ",Population genomic and genome-wide association studies of agroclimatic traits in sorghum,Proceedings of the National Academy of Sciences,110,2,453-458,2013,National Academy of Sciences
"Lu, Fei; Lipka, Alexander E; Glaubitz, Jeff; Elshire, Rob; Cherney, Jerome H; Casler, Michael D; Buckler, Edward S; Costich, Denise E; ","Switchgrass genomic diversity, ploidy, and evolution: novel insights from a network-based SNP discovery protocol",PLoS genetics,9,1,e1003215,2013,"Public Library of Science San Francisco, USA"
"Larsson, Sara J; Lipka, Alexander E; Buckler, Edward S; ",Lessons from Dwarf8 on the strengths and weaknesses of structured association mapping,PLoS Genetics,9,2,e1003246,2013,"Public Library of Science San Francisco, USA"
"Wallace, JG; Larsson, SJ; Buckler, ES; ",Entering the second century of maize quantitative genetics,Heredity,112,1,30-38,2014,Nature Publishing Group
"Maron, Lyza G; Guimarães, Claudia T; Kirst, Matias; Albert, Patrice S; Birchler, James A; Bradbury, Peter J; Buckler, Edward S; Coluccio, Alison E; Danilova, Tatiana V; Kudrna, David; ",Aluminum tolerance in maize is associated with higher MATE1 gene copy number,Proceedings of the National Academy of Sciences,110,13,5241-5246,2013,National Academy of Sciences
